Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF, 10V","C_0805_2012Metric",291.174999,-84.349999,90.000000,top
"C2","0.1uF, 10V","C_0805_2012Metric",282.375000,-55.750000,0.000000,top
"C3","0.1uF, 10V","C_0805_2012Metric",306.125000,-50.000000,90.000000,top
"C4","0.1uF, 10V","C_0805_2012Metric",317.125000,-66.750000,180.000000,top
"C5","0.1uF, 10V","C_0805_2012Metric",285.125000,-68.000000,-90.000000,top
"D1","PMEG2020EJ","D_SOD-323F",280.047500,-120.656000,-90.000000,top
"D2","LED","LED_0805_2012Metric",271.210000,-167.726000,-90.000000,top
"D3","LED","LED_0805_2012Metric",280.047500,-125.656000,90.000000,top
"D4","DONE LED","LED_0805_2012Metric",288.375000,-53.750000,0.000000,top
"PR_C1","2.2uF","C_0805_2012Metric",382.540000,-171.575000,-90.000000,top
"PR_C11","22uF","C_0805_2012Metric",255.797500,-122.936000,90.000000,top
"PR_C12","20pF","C_0805_2012Metric",259.047500,-117.638500,-90.000000,top
"PR_C13","22uF","C_0805_2012Metric",267.047500,-117.638500,-90.000000,top
"PR_C14","20pF","C_0805_2012Metric",259.547500,-131.388500,-90.000000,top
"PR_C15","10uF","C_0805_2012Metric",267.047500,-131.388500,-90.000000,top
"PR_C16","20pF","C_0805_2012Metric",271.547500,-122.976000,180.000000,top
"PR_C17","10uF","C_0805_2012Metric",271.497500,-130.226000,180.000000,top
"PR_C18","100nF, 10V","C_0805_2012Metric",277.047500,-122.906000,-90.000000,top
"PR_D1","LED","LED_0201_0603Metric",382.040000,-165.575000,180.000000,top
"PR_L1","1.5uH","L_1008_2520Metric",256.047500,-117.638500,90.000000,top
"PR_L2","3.3uH","L_1008_2520Metric",256.297500,-131.388500,90.000000,top
"PR_L3","2.2uH","L_1008_2520Metric",271.547500,-119.726000,0.000000,top
"PR_R1","1K","R_0201_0603Metric",382.040000,-166.825000,0.000000,top
"PR_R8","30k","R_0805_2012Metric",264.297500,-117.638500,90.000000,top
"PR_R9","120k","R_0805_2012Metric",261.547500,-117.638500,-90.000000,top
"PR_R10","150k","R_0805_2012Metric",264.547500,-131.388500,90.000000,top
"PR_R11","120k","R_0805_2012Metric",262.047500,-131.388500,-90.000000,top
"PR_R12","180k","R_0805_2012Metric",271.460000,-127.976000,0.000000,top
"PR_R13","57.6k","R_0805_2012Metric",271.547500,-125.476000,180.000000,top
"PR_R14","1k","R_0805_2012Metric",274.210000,-167.726000,90.000000,top
"PR_R15","1k","R_0805_2012Metric",279.297500,-128.906000,0.000000,top
"PR_R16","100","R_0805_2012Metric",287.625000,-57.250000,90.000000,top
"R1","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",309.674999,-95.099999,90.000000,top
"R2","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",295.174999,-80.599999,0.000000,top
"R3","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",291.924999,-87.849999,0.000000,top
"R4","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",291.924999,-92.849999,0.000000,top
"R5","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",300.625000,-80.500000,180.000000,top
"R6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",273.390000,-83.550000,-90.000000,top
"R7","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",276.140000,-83.550000,-90.000000,top
"R8","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",279.140000,-83.550000,-90.000000,top
"R9","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",283.890000,-95.050000,0.000000,top
"R10","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",283.890000,-92.300000,0.000000,top
"R11","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",268.640000,-95.050000,180.000000,top
"R12","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",305.125000,-45.500000,180.000000,top
"R13","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",313.625000,-68.250000,-90.000000,top
"R14","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",278.375000,-58.000000,-90.000000,top
"U1_C1","47nF","C_0402_1005Metric",308.575001,-66.400001,90.000000,top
"U1_C2","47nF","C_0402_1005Metric",293.805001,-70.400001,180.000000,top
"U1_C3","47nF","C_0402_1005Metric",300.805001,-70.400001,180.000000,top
"U1_C4","47nF","C_0402_1005Metric",303.305001,-70.400001,180.000000,top
"U1_C5","470nF","C_0402_1005Metric",306.055001,-70.400001,180.000000,top
"U1_C6","470nF","C_0402_1005Metric",308.575001,-59.630001,-90.000000,top
"U1_C7","470nF","C_0402_1005Metric",308.575001,-57.130001,-90.000000,top
"U1_C8","470nF","C_0402_1005Metric",310.575001,-57.150001,-90.000000,top
"U1_C9","100uF","C_1206_3216Metric",310.375000,-71.750000,0.000000,top
"U1_C10","47nF","C_0402_1005Metric",308.575001,-64.150001,90.000000,top
"U1_C11","470nF","C_0402_1005Metric",289.825001,-56.630001,90.000000,top
"U1_C12","470nF","C_0402_1005Metric",289.825001,-59.130001,90.000000,top
"U1_C13","470nF","C_0402_1005Metric",289.825001,-61.630001,90.000000,top
"U1_C14","470nF","C_0402_1005Metric",289.825001,-64.130001,90.000000,top
"U1_C15","47nF","C_0402_1005Metric",289.825001,-66.900001,90.000000,top
"U1_C16","47nF","C_0402_1005Metric",291.285001,-70.400001,180.000000,top
"U1_C17","47nF","C_0402_1005Metric",291.575001,-66.920001,90.000000,top
"U1_C18","47nF","C_0402_1005Metric",308.575001,-61.880001,90.000000,top
"U1_C19","470nF","C_0402_1005Metric",291.575001,-56.650001,90.000000,top
"U1_C20","470nF","C_0402_1005Metric",291.575001,-59.170001,90.000000,top
"U1_C21","470nF","C_0402_1005Metric",291.575001,-61.650001,90.000000,top
"U1_C22","470nF","C_0402_1005Metric",291.575001,-64.150001,90.000000,top
"U1_C23","100uF","C_1206_3216Metric",314.075001,-56.900001,0.000000,top
"U1_C24","47nF","C_0402_1005Metric",287.845001,-65.150001,180.000000,top
"U1_C25","470nF","C_0402_1005Metric",287.845001,-66.400001,180.000000,top
"U1_C26","47nF","C_0402_1005Metric",287.845001,-67.650001,180.000000,top
"U1_C27","47nF","C_0402_1005Metric",310.575001,-62.400001,-90.000000,top
"U1_C28","470nF","C_0402_1005Metric",311.825001,-62.400001,-90.000000,top
"U1_C29","470nF","C_0402_1005Metric",313.075001,-62.380001,-90.000000,top
"U1_C30","470nF","C_0402_1005Metric",310.575001,-64.900001,-90.000000,top
"U1_C31","470nF","C_0402_1005Metric",311.825001,-64.880001,-90.000000,top
"U1_C32","470nF","C_0402_1005Metric",288.325001,-60.400001,90.000000,top
"U1_C33","470nF","C_0402_1005Metric",287.075001,-60.380001,90.000000,top
"U1_C34","100uF","C_1206_3216Metric",312.325001,-59.650001,0.000000,top
"U1_C35","47nF","C_0402_1005Metric",296.075001,-70.400001,180.000000,top
"U1_C36","47nF","C_0402_1005Metric",311.095001,-66.900001,0.000000,top
"U1_C37","470nF","C_0402_1005Metric",309.075001,-68.150001,0.000000,top
"U1_C38","47nF","C_0402_1005Metric",296.100000,-72.900000,180.000000,top
"U1_C39","47nF","C_0402_1005Metric",298.325001,-70.400001,180.000000,top
"U1_C40","47nF","C_0402_1005Metric",296.075001,-71.650001,180.000000,top
"U1_C41","470nF","C_0402_1005Metric",298.325001,-71.650001,180.000000,top
"U1_C42","470nF","C_0402_1005Metric",298.325001,-72.900001,180.000000,top
"U6","MT25QL01GBBB8ESF-0SIT","SOIC-16W_7.5x12.8mm_P1.27mm",300.875000,-89.750000,0.000000,top
"Y1","AX5PAF1-400.0000T","OSC_AX5PAF1-400.0000T",317.257500,-71.500000,0.000000,top
"Y2","ECS-2333-100-BN-TR","OSC_ECS-2333-100-BN-TR",281.125000,-68.250000,-90.000000,top
